,Name,Latitude,Longitude,accessibility_0,accessibility_1,Accessibility,colour
85,Carmarthen,51.856697,-4.310111,WheelchairAccess,None,Wheelchair Only,#003FF6
86,Cwmbran,51.653725,-3.020346,WheelchairAccess,AudioCashMachine,Both,#27AE60
87,Pontypool,51.703114,-3.041253,WheelchairAccess,AudioCashMachine,Both,#27AE60
88,Glasgow,55.858501,-4.254375,WheelchairAccess,AudioCashMachine,Both,#27AE60
89,"High Wycombe, Corn Market",51.629608,-0.751073,WheelchairAccess,AudioCashMachine,Both,#27AE60
90,Maidenhead,51.522663,-0.719579,WheelchairAccess,AudioCashMachine,Both,#27AE60
91,Huntingdon,52.3298,-0.182085,WheelchairAccess,AudioCashMachine,Both,#27AE60
92,"St Ives, Cambridgeshire",52.322789,-0.071952,WheelchairAccess,AudioCashMachine,Both,#27AE60
93,"Guernsey, St Peter Port",49.464241,-2.557833,None,None,None,#E74C3C
94,"Guernsey, St Martin",49.427852,-2.577223,WheelchairAccess,AudioCashMachine,Both,#27AE60
95,"Guernsey, St Sampson",49.498941,-2.527389,WheelchairAccess,AudioCashMachine,Both,#27AE60
96,Sevenoaks,51.269855,0.192935,WheelchairAccess,AudioCashMachine,Both,#27AE60
97,Tonbridge,51.19537,0.274532,WheelchairAccess,AudioCashMachine,Both,#27AE60
98,Kidderminster,52.388763,-2.249323,WheelchairAccess,AudioCashMachine,Both,#27AE60
99,Stourport-On-Severn,52.339752,-2.280193,WheelchairAccess,AudioCashMachine,Both,#27AE60
100,"Lincoln, Stonebow",53.229131,-0.540624,WheelchairAccess,None,Wheelchair Only,#003FF6
101,Bracknell,51.416222,-0.747822,WheelchairAccess,AudioCashMachine,Both,#27AE60
102,"Slough, High Street",51.508926,-0.593676,WheelchairAccess,AudioCashMachine,Both,#27AE60
103,Weybridge,51.371616,-0.46179,WheelchairAccess,AudioCashMachine,Both,#27AE60
104,"Windsor, High Street",51.482265,-0.607818,WheelchairAccess,AudioCashMachine,Both,#27AE60
105,Llandrindod Wells,52.240265,-3.379674,WheelchairAccess,AudioCashMachine,Both,#27AE60
106,Guisborough,54.535809,-1.052634,WheelchairAccess,AudioCashMachine,Both,#27AE60
107,Loughton,51.645592,0.053697,WheelchairAccess,None,Wheelchair Only,#003FF6
108,Romford,51.57896,0.180433,WheelchairAccess,AudioCashMachine,Both,#27AE60
109,"Bridgend, Dunraven Place",51.507187,-3.579476,WheelchairAccess,AudioCashMachine,Both,#27AE60
110,Port Talbot,51.593941,-3.781141,WheelchairAccess,AudioCashMachine,Both,#27AE60
111,"Bournemouth, Old Christchurch Road",50.721073,-1.876987,WheelchairAccess,AudioCashMachine,Both,#27AE60
112,"Bournemouth, Winton",50.742062,-1.879228,WheelchairAccess,AudioCashMachine,Both,#27AE60
113,Christchurch,50.734955,-1.778397,WheelchairAccess,AudioCashMachine,Both,#27AE60
114,Poole,50.717178,-1.982341,WheelchairAccess,AudioCashMachine,Both,#27AE60
115,"Bournemouth, Westbourne",50.723274,-1.904889,WheelchairAccess,AudioCashMachine,Both,#27AE60
116,"Hartlepool, York Road",54.684254,-1.216423,WheelchairAccess,AudioCashMachine,Both,#27AE60
117,"Newport, Isle Of Wight",50.698994,-1.295531,WheelchairAccess,AudioCashMachine,Both,#27AE60
118,Street,51.125842,-2.741248,WheelchairAccess,AudioCashMachine,Both,#27AE60
119,Dorchester,50.715019,-2.437013,WheelchairAccess,AudioCashMachine,Both,#27AE60
120,Winchester,51.062847,-1.316553,WheelchairAccess,AudioCashMachine,Both,#27AE60
121,Beccles,52.45734,1.563273,WheelchairAccess,AudioCashMachine,Both,#27AE60
122,Birkenhead,53.389389,-3.02638,WheelchairAccess,AudioCashMachine,Both,#27AE60
123,Chichester,50.836323,-0.778982,WheelchairAccess,AudioCashMachine,Both,#27AE60
124,Petersfield,51.004025,-0.938105,WheelchairAccess,AudioCashMachine,Both,#27AE60
125,Waterlooville,50.880486,-1.030113,WheelchairAccess,AudioCashMachine,Both,#27AE60
126,Bognor Regis,50.782948,-0.674096,WheelchairAccess,AudioCashMachine,Both,#27AE60
127,Rustington,50.810524,-0.505742,WheelchairAccess,AudioCashMachine,Both,#27AE60
128,Oxted,51.257988,-0.002766,WheelchairAccess,AudioCashMachine,Both,#27AE60
129,Mold,53.167297,-3.142449,WheelchairAccess,AudioCashMachine,Both,#27AE60
130,"Middlesbrough, Albert Road",54.5764742,-1.2345847,WheelchairAccess,AudioCashMachine,Both,#27AE60
131,"Sheffield, Crystal Peaks",53.341607,-1.353395,WheelchairAccess,AudioCashMachine,Both,#27AE60
132,Maldon,51.731176,0.679396,WheelchairAccess,AudioCashMachine,Both,#27AE60
133,"Portsmouth, Commercial Road",50.79958,-1.090663,WheelchairAccess,AudioCashMachine,Both,#27AE60
134,"Ryde, Isle Of Wight",50.730125,-1.162386,WheelchairAccess,AudioCashMachine,Both,#27AE60
135,Deal,51.224567,1.402469,WheelchairAccess,AudioCashMachine,Both,#27AE60
136,Ramsgate,51.334847,1.41792,None,None,None,#E74C3C
137,Bridgnorth,52.534714,-2.419703,WheelchairAccess,AudioCashMachine,Both,#27AE60
138,Ripley,53.051262,-1.404785,WheelchairAccess,AudioCashMachine,Both,#27AE60
139,"Oxford, Headington",51.75972,-1.211952,WheelchairAccess,AudioCashMachine,Both,#27AE60
140,"Oxford, Cornmarket Street",51.752098,-1.258051,WheelchairAccess,AudioCashMachine,Both,#27AE60
141,"Oxford, Summertown",51.778904,-1.265801,WheelchairAccess,AudioCashMachine,Both,#27AE60
142,Louth,53.366257,-0.006083,WheelchairAccess,AudioCashMachine,Both,#27AE60
143,Market Harborough,52.478626,-0.922523,WheelchairAccess,AudioCashMachine,Both,#27AE60
144,"Eastbourne, Terminus Road",50.768444,0.283343,WheelchairAccess,AudioCashMachine,Both,#27AE60
145,Frome,51.231106,-2.321265,None,None,None,#E74C3C
146,"Shrewsbury, High Street",52.707547,-2.753655,WheelchairAccess,AudioCashMachine,Both,#27AE60
147,"Birmingham, Erdington",52.525509,-1.836792,WheelchairAccess,AudioCashMachine,Both,#27AE60
148,Four Oaks,52.587837,-1.830613,WheelchairAccess,AudioCashMachine,Both,#27AE60
149,Lichfield,52.683933,-1.827647,WheelchairAccess,AudioCashMachine,Both,#27AE60
150,Sutton Coldfield,52.5617285,-1.8231309,WheelchairAccess,AudioCashMachine,Both,#27AE60
151,Tamworth,52.633209,-1.695877,WheelchairAccess,AudioCashMachine,Both,#27AE60
152,Walsall,52.584702,-1.981345,WheelchairAccess,AudioCashMachine,Both,#27AE60
153,"Nottingham, Clumber Street",52.954102,-1.14727,WheelchairAccess,AudioCashMachine,Both,#27AE60
154,West Bridgford,52.931984,-1.127144,WheelchairAccess,AudioCashMachine,Both,#27AE60
155,Weymouth,50.609921,-2.453831,WheelchairAccess,AudioCashMachine,Both,#27AE60
156,Beverley,53.842992,-0.432961,WheelchairAccess,AudioCashMachine,Both,#27AE60
157,Driffield,54.004969,-0.43951,WheelchairAccess,AudioCashMachine,Both,#27AE60
158,Eastcote,51.578075,-0.398343,WheelchairAccess,AudioCashMachine,Both,#27AE60
159,"Hayes, Middlesex",51.507038,-0.419121,WheelchairAccess,AudioCashMachine,Both,#27AE60
160,Pinner,51.594856,-0.382968,WheelchairAccess,AudioCashMachine,Both,#27AE60
161,Ruislip,51.574509,-0.424646,WheelchairAccess,AudioCashMachine,Both,#27AE60
162,"Southall, The Broadway",51.511551,-0.376826,WheelchairAccess,AudioCashMachine,Both,#27AE60
163,Staines-Upon-Thames,51.433537,-0.511157,WheelchairAccess,AudioCashMachine,Both,#27AE60
164,Uxbridge,51.545752,-0.479164,WheelchairAccess,None,Wheelchair Only,#003FF6
165,Walton-On-Thames,51.385189,-0.418738,WheelchairAccess,AudioCashMachine,Both,#27AE60
166,Blackwood,51.667896,-3.1955,WheelchairAccess,AudioCashMachine,Both,#27AE60
167,"Cardiff, Queen Street",51.481876,-3.175651,WheelchairAccess,AudioCashMachine,Both,#27AE60
168,"Cardiff, Rumney",51.508692,-3.132014,WheelchairAccess,AudioCashMachine,Both,#27AE60
169,"Cardiff, Rhyd-y-Penau",51.519642,-3.178779,WheelchairAccess,AudioCashMachine,Both,#27AE60
170,"Cardiff, Albany Road",51.49395,-3.165331,WheelchairAccess,AudioCashMachine,Both,#27AE60
171,Caernarfon,53.139359,-4.273848,WheelchairAccess,AudioCashMachine,Both,#27AE60
172,Ashton-Under-Lyne,53.486263,-2.09684,WheelchairAccess,None,Wheelchair Only,#003FF6
173,"Manchester, St Ann's",53.482587,-2.24576,WheelchairAccess,AudioCashMachine,Both,#27AE60
174,"Manchester, Didsbury",53.416245,-2.232143,WheelchairAccess,AudioCashMachine,Both,#27AE60
175,Oldham,53.541187,-2.109242,WheelchairAccess,AudioCashMachine,Both,#27AE60
176,Stockport,53.411667,-2.157756,WheelchairAccess,AudioCashMachine,Both,#27AE60
177,Stockton-On-Tees,54.565243,-1.313574,WheelchairAccess,AudioCashMachine,Both,#27AE60
178,Keighley,53.866566,-1.909438,WheelchairAccess,AudioCashMachine,Both,#27AE60
179,Skipton,53.960754,-2.016546,WheelchairAccess,AudioCashMachine,Both,#27AE60
180,"Exeter, High Street",50.725397,-3.527859,WheelchairAccess,AudioCashMachine,Both,#27AE60
181,Exeter Business Park,50.727745,-3.471668,WheelchairAccess,AudioCashMachine,Both,#27AE60
182,Sidmouth,50.678757,-3.237528,WheelchairAccess,AudioCashMachine,Both,#27AE60
183,Formby,53.556824,-3.062553,WheelchairAccess,AudioCashMachine,Both,#27AE60
184,St Annes-On-Sea,53.752125,-3.031049,None,None,None,#E74C3C
185,"Southport, Lord Street",53.64867,-3.00595,None,None,None,#E74C3C
186,Ilkley,53.924359,-1.822522,WheelchairAccess,AudioCashMachine,Both,#27AE60
187,"Sunderland, The Bridges",54.905788,-1.384668,WheelchairAccess,AudioCashMachine,Both,#27AE60
188,Banbury,52.06208,-1.335049,WheelchairAccess,AudioCashMachine,Both,#27AE60
189,Devizes,51.352188,-1.995083,WheelchairAccess,AudioCashMachine,Both,#27AE60
190,Leighton Buzzard,51.916088,-0.661994,WheelchairAccess,AudioCashMachine,Both,#27AE60
191,Liskeard,50.453953,-4.465295,None,None,None,#E74C3C
192,Selby,53.783585,-1.068807,WheelchairAccess,None,Wheelchair Only,#003FF6
193,Penrith,54.663998,-2.752689,WheelchairAccess,AudioCashMachine,Both,#27AE60
194,Morpeth,55.167374,-1.690852,WheelchairAccess,AudioCashMachine,Both,#27AE60
195,Ruthin,53.114544,-3.310255,WheelchairAccess,AudioCashMachine,Both,#27AE60
196,"Cambridge, City Office",52.204697,0.122863,WheelchairAccess,AudioCashMachine,Both,#27AE60
197,"Cambridge, Hills Road",52.196439,0.129708,WheelchairAccess,AudioCashMachine,Both,#27AE60
198,Lewes,50.87249,0.009279,None,None,None,#E74C3C
199,Harlow,51.7695422,0.0944171,WheelchairAccess,None,Wheelchair Only,#003FF6
200,Royal Tunbridge Wells,51.133894,0.263477,WheelchairAccess,AudioCashMachine,Both,#27AE60
201,Bridgwater,51.128399,-3.00265,WheelchairAccess,AudioCashMachine,Both,#27AE60
202,Dolgellau,52.742542,-3.8853,None,None,None,#E74C3C
203,"Cheltenham, Promenade",51.9007316,-2.0750213,None,None,None,#E74C3C
204,Portadown,54.422269,-6.440553,WheelchairAccess,AudioCashMachine,Both,#27AE60
205,Londonderry,54.996071,-7.321966,WheelchairAccess,AudioCashMachine,Both,#27AE60
206,"Colchester, High Street",51.8894,0.898717,WheelchairAccess,AudioCashMachine,Both,#27AE60
207,"Colchester, North Station Road",51.895153,0.895526,WheelchairAccess,AudioCashMachine,Both,#27AE60
208,Spalding,52.786751,-0.15138,WheelchairAccess,AudioCashMachine,Both,#27AE60
209,Bury St Edmunds,52.244545,0.713228,WheelchairAccess,AudioCashMachine,Both,#27AE60
210,Settle,54.068523,-2.276278,WheelchairAccess,AudioCashMachine,Both,#27AE60
211,Falkirk,55.999668,-3.785423,WheelchairAccess,AudioCashMachine,Both,#27AE60
212,Retford,53.321537,-0.942022,WheelchairAccess,AudioCashMachine,Both,#27AE60
213,"Northampton, Abington Street",52.237844,-0.89449,WheelchairAccess,AudioCashMachine,Both,#27AE60
214,Stamford,52.651892,-0.480061,None,None,None,#E74C3C
215,Shaftesbury,51.006111,-2.197681,WheelchairAccess,AudioCashMachine,Both,#27AE60
216,Malvern,52.111782,-2.329679,WheelchairAccess,AudioCashMachine,Both,#27AE60
217,"Warrington, Bridge Street",53.388885,-2.592992,WheelchairAccess,AudioCashMachine,Both,#27AE60
218,Cannock,52.689602,-2.030848,WheelchairAccess,AudioCashMachine,Both,#27AE60
219,Stafford,52.80695,-2.117238,WheelchairAccess,AudioCashMachine,Both,#27AE60
220,"Jersey, St Helier, Halkett St",49.1848241,-2.1036673,WheelchairAccess,AudioCashMachine,Both,#27AE60
221,"Jersey, St Helier, King St",49.1846615,-2.1072793,WheelchairAccess,AudioCashMachine,Both,#27AE60
222,"Jersey, Five Oaks",49.201732,-2.065708,WheelchairAccess,AudioCashMachine,Both,#27AE60
223,Chorley,53.653526,-2.632953,WheelchairAccess,AudioCashMachine,Both,#27AE60
224,Leyland,53.695343,-2.693994,WheelchairAccess,AudioCashMachine,Both,#27AE60
225,"Wigan, Grand Arcade",53.546391,-2.628832,WheelchairAccess,AudioCashMachine,Both,#27AE60
226,Evesham,52.092117,-1.946153,None,None,None,#E74C3C
227,Welshpool,52.659416,-3.147447,WheelchairAccess,AudioCashMachine,Both,#27AE60
228,"Hull, Holderness Road",53.764408,-0.292466,WheelchairAccess,AudioCashMachine,Both,#27AE60
